enderecos,lon,lat,endereco
"GENERAL OSORIO, 3489 - CENTRO, Alto Alegre dos Parecis - RO, 76952000",-61.8588665,-12.1287469,"GENERAL OSORIO, 3489 - CENTRO, Alto Alegre dos Parecis - RO, 76952000"
"RUA CUJUBIM, 2158 - SETOR 03, Buritis - RO, 76880000",-63.830533,-10.209634,"RUA CUJUBIM, 2158 - SETOR 03, Buritis - RO, 76880000"
"ELZA VIEIRA LOPES, 4803 - CENTRO, Novo Horizonte do Oeste - RO, 76956000",NA,NA,"ELZA VIEIRA LOPES, 4803 - CENTRO, Novo Horizonte do Oeste - RO, 76956000"
"RIVALDO LEITE, 2167 - Setor 06, Cacaulândia - RO, 76889000",-62.9091053,-10.3270261,"RIVALDO LEITE, 2167 - Setor 06, Cacaulândia - RO, 76889000"
"TANCREDO NEVES, 1033 - SETOR 04, Campo Novo de Rondônia - RO, 76887000",-63.6556838,-10.3417386,"TANCREDO NEVES, 1033 - SETOR 04, Campo Novo de Rondônia - RO, 76887000"
"TANCREDO NEVES, 206 - BAIRRO DAS FLORES, Candeias do Jamari - RO, 78860000",-63.7066266,-8.7954708,"TANCREDO NEVES, 206 - BAIRRO DAS FLORES, Candeias do Jamari - RO, 78860000"
"DAS ACÁCIAS, 1796 - CENTRO, Castanheiras - RO, 76948000",-61.84092140000001,-11.4546489,"DAS ACÁCIAS, 1796 - CENTRO, Castanheiras - RO, 76948000"
"Ayrton senna, 352 - Setor 10, Chupinguaia - RO, 76990000",-60.86093579999999,-12.6216516,"Ayrton senna, 352 - Setor 10, Chupinguaia - RO, 76990000"
"BEIJA FLOR, 2585 - SETOR INSTITUCIONAL, Cujubim - RO, 76864000",-63.03315449999999,-9.9122681,"BEIJA FLOR, 2585 - SETOR INSTITUCIONAL, Cujubim - RO, 76864000"
"Cacaulândia, 0 - CENTRO, Governador Jorge Teixeira - RO, 76898000",-62.9000387,-10.3419313,"Cacaulândia, 0 - CENTRO, Governador Jorge Teixeira - RO, 76898000"
"EMBURANA, 1023 - CENTRO, Governador Jorge Teixeira - RO, 76898000",-63.10896580000001,-10.7167414,"EMBURANA, 1023 - CENTRO, Governador Jorge Teixeira - RO, 76898000"
"Maria Vitaliano de souza, 1940 - CENTRO, Itapuã do Oeste - RO, 76861000",-63.10896580000001,-9.2511358,"Maria Vitaliano de souza, 1940 - CENTRO, Itapuã do Oeste - RO, 76861000"
"A-3, 6281 - PROJETO HABITACIONAL PLANTE UMA ARVORE, Ministro Andreazza - RO, 76919000",-61.509738,-11.0766579,"A-3, 6281 - PROJETO HABITACIONAL PLANTE UMA ARVORE, Ministro Andreazza - RO, 76919000"
"DOM PEDRO I, 2386 - CENTRO, Mirante da Serra - RO, 76926000",-62.6749124,-11.0306323,"DOM PEDRO I, 2386 - CENTRO, Mirante da Serra - RO, 76926000"
"CASTELO BRANCO, 2190 - SETOR 01, Monte Negro - RO, 76888000",-63.29771199999999,-10.2617837,"CASTELO BRANCO, 2190 - SETOR 01, Monte Negro - RO, 76888000"
"CASTELO BRANCO, 1127 - Centro, Nova União - RO, 76924000",-7.4964662,39.8197117,"CASTELO BRANCO, 1127 - Centro, Nova União - RO, 76924000"
"DA MATRIZ, 250 - CENTRO, Parecis - RO, 76979000",-61.4202019,-12.1911639,"DA MATRIZ, 250 - CENTRO, Parecis - RO, 76979000"
"Pedro Rudi Sporh, 522 - CENTRO, Pimenteiras do Oeste - RO, 76999000",-61.04381259999999,-13.4801607,"Pedro Rudi Sporh, 522 - CENTRO, Pimenteiras do Oeste - RO, 76999000"
"EFRAIM GOULART DE BARROS, 3891 - CENTRO, Primavera de Rondônia - RO, 76976000",-61.3185369,-11.8301774,"EFRAIM GOULART DE BARROS, 3891 - CENTRO, Primavera de Rondônia - RO, 76976000"
"RONALDO ARAGAO, 1195 - centro, São Felipe D'Oeste - RO, 76977000",-61.5125162,-11.9129368,"RONALDO ARAGAO, 1195 - centro, São Felipe D'Oeste - RO, 76977000"
"TANCREDO NEVES, 2809 - CENTRO, São Francisco do Guaporé - RO, 76935000",-63.56918580000001,-12.0600752,"TANCREDO NEVES, 2809 - CENTRO, São Francisco do Guaporé - RO, 76935000"
"jorge França Shynaider, 0 - centro, Seringueiras - RO, 76934000",-63.03789919999999,-11.7684134,"jorge França Shynaider, 0 - centro, Seringueiras - RO, 76934000"
"Luiz Borges, 0 - Centro, Teixeirópolis - RO, 76928000",-62.2861215,-10.9460095,"Luiz Borges, 0 - Centro, Teixeirópolis - RO, 76928000"
"JUSCELINO KUBITCSHEK, 1532 - CENTRO, Theobroma - RO, 76866000",-62.34801599999999,-10.2472014,"JUSCELINO KUBITCSHEK, 1532 - CENTRO, Theobroma - RO, 76866000"
"OLAVO PIRES, 1760 - NOVO HORIZONTE, Urupá - RO, 76929000",-62.36801179999999,-11.1261206,"OLAVO PIRES, 1760 - NOVO HORIZONTE, Urupá - RO, 76929000"
"Capitão Silvio de Farias, 4289 - centro, Vale do Anari - RO, 76867000",-62.17577470000001,-9.8529965,"Capitão Silvio de Farias, 4289 - centro, Vale do Anari - RO, 76867000"
"GIRASSOL, 4401 - SETOR O1, Vale do Paraíso - RO, 76923000",NA,NA,"GIRASSOL, 4401 - SETOR O1, Vale do Paraíso - RO, 76923000"
"PARANA, 473 - CENTRO, Acrelândia - AC, 69945000",-67.0555187,-10.0781671,"PARANA, 473 - CENTRO, Acrelândia - AC, 69945000"
"RAFAEL MARTINS LEAO, 8000 - CENTRO, Assis Brasil - AC, 69935000",-69.5645948,-10.9383113,"RAFAEL MARTINS LEAO, 8000 - CENTRO, Assis Brasil - AC, 69935000"
"Rua Maria Ester de Oliveira, 250 - Eldorado, Brasiléia - AC, 69932000",-68.7532151,-11.0004909,"Rua Maria Ester de Oliveira, 250 - Eldorado, Brasiléia - AC, 69932000"
"Jose Maciel, 0 - Centro, Bujari - AC, 69926000",-67.95313329999999,-9.8285339,"Jose Maciel, 0 - Centro, Bujari - AC, 69926000"
"Ayrton sena, 160 - CONQUISTA, Capixaba - AC, 69931000",-67.8227007,-9.9981451,"Ayrton sena, 160 - CONQUISTA, Capixaba - AC, 69931000"
"GETULIO VARGAS, 1256 - COBAL, Cruzeiro do Sul - AC, 69980000",-72.6579002,-7.627860099999999,"GETULIO VARGAS, 1256 - COBAL, Cruzeiro do Sul - AC, 69980000"
"São Sebastião, 880 - José Hassem, Epitaciolândia - AC, 69934000",-68.747479,-11.0357767,"São Sebastião, 880 - José Hassem, Epitaciolândia - AC, 69934000"
"MARECHAL DEODORO, 1358 - CENTRO, Feijó - AC, 69960000",-70.358645,-8.169369,"MARECHAL DEODORO, 1358 - CENTRO, Feijó - AC, 69960000"
"CARLOS GONÇALVES DE FARIAS, 0 - CENTRO, Jordão - AC, 69975000",-71.8571331,-9.3334487,"CARLOS GONÇALVES DE FARIAS, 0 - CENTRO, Jordão - AC, 69975000"
"MARIA EMÍLIA DE NAZARÉ, 385 - COBAL, Mâncio Lima - AC, 69990000",-9.0700991,39.6012147,"MARIA EMÍLIA DE NAZARÉ, 385 - COBAL, Mâncio Lima - AC, 69990000"
"Antonio Coelho de Brito, 381 - Centro, Manoel Urbano - AC, 69950000",-69.264153,-8.8398033,"Antonio Coelho de Brito, 381 - Centro, Manoel Urbano - AC, 69950000"
"Zilda Vasconcelos, 122 - Centro, Marechal Thaumaturgo - AC, 69983000",-72.790115,-8.946551999999999,"Zilda Vasconcelos, 122 - Centro, Marechal Thaumaturgo - AC, 69983000"
"Francisco Manoel Galdino, 682 - Thaumaturgo, Plácido de Castro - AC, 69928000",-67.179547,-10.3200468,"Francisco Manoel Galdino, 682 - Thaumaturgo, Plácido de Castro - AC, 69928000"
"Mamed Cameli, 146 - Centro, Porto Walter - AC, 69982000",-72.7462189,-8.2634489,"Mamed Cameli, 146 - Centro, Porto Walter - AC, 69982000"
"SÃO FRANCISCO, 1652 - SÃO FRANCISCO, Rio Branco - AC, 69914460",-67.8321271,-9.9521397,"SÃO FRANCISCO, 1652 - SÃO FRANCISCO, Rio Branco - AC, 69914460"
"ANTONIO PESSOA DE JUCÁ, 810 - TANCREDO NEVES, Rio Branco - AC, 69918010",-67.8349491,-9.9291485,"ANTONIO PESSOA DE JUCÁ, 810 - TANCREDO NEVES, Rio Branco - AC, 69918010"
"SÃO SALVADOR, 134 - Bahia Velha, Rio Branco - AC, 69911200",-67.82803439999999,-9.9882387,"SÃO SALVADOR, 134 - Bahia Velha, Rio Branco - AC, 69911200"
"SANACRE, 1327 - SANTA INÊS, Rio Branco - AC, 69907371",-67.79851099999999,-10.009608,"SANACRE, 1327 - SANTA INÊS, Rio Branco - AC, 69907371"
"BELÉM, 385 - NOVA ESTAÇÃO, Rio Branco - AC, 69918354",-67.83150499999999,-9.959266999999999,"BELÉM, 385 - NOVA ESTAÇÃO, Rio Branco - AC, 69918354"
"CALAFATE, 3937 - waldemar maciel, Rio Branco - AC, 69914800",-67.871886,-9.9784659,"CALAFATE, 3937 - waldemar maciel, Rio Branco - AC, 69914800"
"UIRAPURU, 424 - CIDADE NOVA, Rio Branco - AC, 69905462",-67.8161561,-9.981113599999999,"UIRAPURU, 424 - CIDADE NOVA, Rio Branco - AC, 69905462"
"PADRE JOÃO MARTINS, 1 - CIDADE DO POVO, Rio Branco - AC, 69909280",-67.76942629999999,-10.0304812,"PADRE JOÃO MARTINS, 1 - CIDADE DO POVO, Rio Branco - AC, 69909280"
"SÃO JOSE, 850 - DARIO PEREIRA, Rodrigues Alves - AC, 69985000",-73.37086959999999,-7.881874000000001,"SÃO JOSE, 850 - DARIO PEREIRA, Rodrigues Alves - AC, 69985000"
"CORONEL JOSÉ FERREIRA, 42 - CIDADE NOVA, Santa Rosa do Purus - AC, 69955000",-70.3360691,-9.5885609,"CORONEL JOSÉ FERREIRA, 42 - CIDADE NOVA, Santa Rosa do Purus - AC, 69955000"
"RUA VISCONDE DE MAUÁ, 509 - CENTRO, Senador Guiomard - AC, 69925000",-67.7376592,-10.154454,"RUA VISCONDE DE MAUÁ, 509 - CENTRO, Senador Guiomard - AC, 69925000"
"AVELINO CHAVES, 1159 - CENTRO, Sena Madureira - AC, 69940000",-68.656927,-9.0682069,"AVELINO CHAVES, 1159 - CENTRO, Sena Madureira - AC, 69940000"
"CAPITÃO HIPÓLITO, 140 - TRIÂNGULO, Tarauacá - AC, 69970000",-70.761032,-8.164264,"CAPITÃO HIPÓLITO, 140 - TRIÂNGULO, Tarauacá - AC, 69970000"
"CORONEL BRANDÃO, 168 - CENTRO, Xapuri - AC, 69930000",-68.50482850000002,-10.6543215,"CORONEL BRANDÃO, 168 - CENTRO, Xapuri - AC, 69930000"
"MARGARIDAS, 94 - VILA DO INCRA, Porto Acre - AC, 69927000",-67.7004979,-9.725186800000001,"MARGARIDAS, 94 - VILA DO INCRA, Porto Acre - AC, 69927000"
"TIBIRIÇA, 587 - CENTRO, Alvarães - AM, 69540000",-64.80118159999999,-3.2276337,"TIBIRIÇA, 587 - CENTRO, Alvarães - AM, 69540000"
"RUA BENVINDA ALVES, 0 - SANTA ETELVINA, Amaturá - AM, 69620000",-68.1948415,-3.3649081,"RUA BENVINDA ALVES, 0 - SANTA ETELVINA, Amaturá - AM, 69620000"
"ESTRADA ANAMA CUIA, 0 - CENTRO, Anamã - AM, 69445000",-61.3988728,-3.5796210999999998,"ESTRADA ANAMA CUIA, 0 - CENTRO, Anamã - AM, 69445000"
"PROFESSOR ALMIR, 22 - SÃO JOÃO, Anori - AM, 69440000",-61.6572256,-3.7441691,"PROFESSOR ALMIR, 22 - SÃO JOÃO, Anori - AM, 69440000"
"Pernambuco, 15 - São Sebastião, Apuí - AM, 69265000",-36.954107,-8.8137173,"Pernambuco, 15 - São Sebastião, Apuí - AM, 69265000"
"PEDRO TEIXEIRA, 263 - CENTRO, Atalaia do Norte - AM, 69650000",-70.1938077,-4.3641979,"PEDRO TEIXEIRA, 263 - CENTRO, Atalaia do Norte - AM, 69650000"
"Rua: Pedro Nobre, 0 - Santa Luzia, Autazes - AM, 69240000",-59.132685,-3.5816432,"Rua: Pedro Nobre, 0 - Santa Luzia, Autazes - AM, 69240000"
"DORVAL PORTO, 856 - NAZARE, Barcelos - AM, 69700000",-62.9190488,-0.9729588999999998,"DORVAL PORTO, 856 - NAZARE, Barcelos - AM, 69700000"
"PEDRAS, 0 - SÃO JUDAS TADEU, Barreirinha - AM, 69160000",-57.0686164,-2.8022897,"PEDRAS, 0 - SÃO JUDAS TADEU, Barreirinha - AM, 69160000"
"AMERICO MACIEL, 0 - COLONIA, Benjamin Constant - AM, 69630000",-70.0267716,-4.3886913,"AMERICO MACIEL, 0 - COLONIA, Benjamin Constant - AM, 69630000"
"RUA JOSÉ BELARMINO DE AMORIM, 38 - SÃO PEDRO, Beruri - AM, 69430000",-61.373556,-3.8956729,"RUA JOSÉ BELARMINO DE AMORIM, 38 - SÃO PEDRO, Beruri - AM, 69430000"
"JUSCELINO KUBITSCHEK, 345 - Centro, Boa Vista do Ramos - AM, 69195000",-57.6892483,-3.0621541,"JUSCELINO KUBITSCHEK, 345 - Centro, Boa Vista do Ramos - AM, 69195000"
"BAHIA, 1839 - PRAIA DO GADO, Boca do Acre - AM, 69850000",-67.3996935,-8.7401428,"BAHIA, 1839 - PRAIA DO GADO, Boca do Acre - AM, 69850000"
"MANOEL DE ASSUNCAO, 0 - CRISTO REI, Borba - AM, 69200000",-59.5949976,-4.394233499999999,"MANOEL DE ASSUNCAO, 0 - CRISTO REI, Borba - AM, 69200000"
"Acrizio Pereira, 0 - Novo Horizonte, Caapiranga - AM, 69425000",-61.2117013,-3.3209105,"Acrizio Pereira, 0 - Novo Horizonte, Caapiranga - AM, 69425000"
"CORONEL BOTINELLY, 296 - CENTRO, Canutama - AM, 69820000",-64.38725889999999,-6.538321,"CORONEL BOTINELLY, 296 - CENTRO, Canutama - AM, 69820000"
"JORGE ALVES, 121 - CENTRO, Carauari - AM, 69500000",-66.8969068,-4.8773035,"JORGE ALVES, 121 - CENTRO, Carauari - AM, 69500000"
"AJARÁ, 0 - VISTA ALEGR4E, Careiro - AM, 69250000",-60.3589786,-3.8160914,"AJARÁ, 0 - VISTA ALEGR4E, Careiro - AM, 69250000"
"NUNES DE MELO, 10 - CENTRO, Careiro - AM, 69250000",-59.7067365,-3.3849869,"NUNES DE MELO, 10 - CENTRO, Careiro - AM, 69250000"
"MIRACAUERA, 0 - CENTRO, Careiro da Várzea - AM, 69255000",-60.3659802,-3.8204555,"MIRACAUERA, 0 - CENTRO, Careiro da Várzea - AM, 69255000"
"CEARÁ, 0 - URUCU, Coari - AM, 69460000",-65.3550913,-4.884858899999999,"CEARÁ, 0 - URUCU, Coari - AM, 69460000"
"Areal Souto, 203 - Chagas Aguiar, Coari - AM, 69460000",-63.13676760000001,-4.0874236,"Areal Souto, 203 - Chagas Aguiar, Coari - AM, 69460000"
"05 DE SETEMBRO, 592 - CENTRO, Codajás - AM, 69450000",-62.06102250000001,-3.8400079,"05 DE SETEMBRO, 592 - CENTRO, Codajás - AM, 69450000"
"21 DE SETEMBRO, 81 - CENTRO, Eirunepé - AM, 69880000",-69.8674865,-6.6618796,"21 DE SETEMBRO, 81 - CENTRO, Eirunepé - AM, 69880000"
"Coronel Leopoldo, 381 - Centro, Envira - AM, 69870000",-70.0228018,-7.4360807,"Coronel Leopoldo, 381 - Centro, Envira - AM, 69870000"
"Tiradentes, 100 - cidade nova, Fonte Boa - AM, 69670000",-44.1733017,-21.1100035,"Tiradentes, 100 - cidade nova, Fonte Boa - AM, 69670000"
"Juvenal de Paula e Castro, 0 - Centro, Guajará - AM, 69895000",-72.570291,-7.538769799999999,"Juvenal de Paula e Castro, 0 - Centro, Guajará - AM, 69895000"
"Antero Riça, 0 - Novo Centenário, Humaitá - AM, 69800000",-63.03078799999999,-7.509325999999999,"Antero Riça, 0 - Novo Centenário, Humaitá - AM, 69800000"
"AV.JOÃO HERCULANO, 749 - CENTRO, Ipixuna - AM, 69890000",-71.688836,-7.054050699999999,"AV.JOÃO HERCULANO, 749 - CENTRO, Ipixuna - AM, 69890000"
"Av. Rio Solimões, 0 - Bairro Alto, Iranduba - AM, 69415000",-60.1833183,-3.2826763,"Av. Rio Solimões, 0 - Bairro Alto, Iranduba - AM, 69415000"
"BENJAMIN CONSTANT, 0 - PEDREIRAS, Itacoatiara - AM, 69100000",-58.4473834,-3.1395327,"BENJAMIN CONSTANT, 0 - PEDREIRAS, Itacoatiara - AM, 69100000"
"BENJAMIN CONSTANT, 1767 - SANTO ANTONIO, Itacoatiara - AM, 69104042",-58.438544,-3.135021,"BENJAMIN CONSTANT, 1767 - SANTO ANTONIO, Itacoatiara - AM, 69104042"
"Osorio Cavalcante, 10 - CENTRO, Itamarati - AM, 69510000",-68.2394386,-6.4403191,"Osorio Cavalcante, 10 - CENTRO, Itamarati - AM, 69510000"
"PRESIDENTE TANCREDO NEVES, 0 - CAJUAL, Itapiranga - AM, 69120000",-58.023123,-2.7460707,"PRESIDENTE TANCREDO NEVES, 0 - CAJUAL, Itapiranga - AM, 69120000"
"SÃO FRANCISCO, 1 - CENTRO, Japurá - AM, 69495000",-60.0057133,-3.1092408,"SÃO FRANCISCO, 1 - CENTRO, Japurá - AM, 69495000"
"CLOVES CELANE, 1 - CENTRO, Juruá - AM, 69520000",-66.06534189999999,-3.473481,"CLOVES CELANE, 1 - CENTRO, Juruá - AM, 69520000"
"Rua Teotonilio Cavalcante, 509 - São Pedro, Jutaí - AM, 69660000",-66.7711643,-2.7506925,"Rua Teotonilio Cavalcante, 509 - São Pedro, Jutaí - AM, 69660000"
"GETULIO VARGAS, 120 - CENTRO, Lábrea - AM, 69830000",-64.7976778,-7.262696,"GETULIO VARGAS, 120 - CENTRO, Lábrea - AM, 69830000"
"PARINTINS, 0 - UNIÃO, Manacapuru - AM, 69401161",-60.6311501,-3.2852334,"PARINTINS, 0 - UNIÃO, Manacapuru - AM, 69401161"
"JAMIL SEFAIR, 525 - Novo Manacá, Manacapuru - AM, 69401802",-60.6315543,-3.2910641,"JAMIL SEFAIR, 525 - Novo Manacá, Manacapuru - AM, 69401802"
