code_suas,municipio,cod_ibge,uf,nome_centro,tipo_centro,endereco,telefone,data_abertura,fonte_centros,fonte_geocode,lon,lat
15037038994,Itupiranga,1503705,PA,CRAS CRUZEIRO DO SUL,CRAS,"PRINCIPAL, 0 - CENTRO, Itupiranga - PA, 68580000",94999732851,02/01/2018,MDS,Google,-49.8547266,-5.0377529
33011502842,Cardoso Moreira,3301157,RJ,CRAS DE OUTEIRO,CRAS,"PRINCIPAL, 0 - OUTEIRO, Cardoso Moreira - RJ, 28180000",2227358154,01/10/2005,MDS,Google,-42.3618643,-22.8770334
21124020562,Turiaçu,2112407,MA,CRAS  CASA DA FAMILIA,CRAS,"PRINCIPAL, 0 - PORTO SANTO, Turiaçu - MA, 65278000",9884575244,05/08/2010,MDS,Google,-16.3346061,-33.0759749
21016035559,Barra do Corda,2101608,MA,CRAS  VILA SAMPAIO,CRAS,"PRINCIPAL, 0 - VILA SAMPAIO, Barra do Corda - MA, 65950000",9936430450,07/01/2013,MDS,Google,-45.2238553,-5.523102799999999
21086020698,Pinheiro,2108603,MA,CRAS / PACAS,CRAS,"PRINCIPAL, 16 - PACAS, Pinheiro - MA, 65200000",98984725092,01/07/2010,MDS,Google,-45.1436635,-2.5504937
29253002493,Porto Seguro,2925303,BA,CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL - VILA VITORIA,CRAS,"PRINCIPAL, 2 - VILA VITORIA, Porto Seguro - BA, 45810000",7332681307,01/07/2007,MDS,Google,-39.1000364,-16.4110611
41206006336,Prudentópolis,4120606,PR,CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,CRAS,"PRINCIPAL, 642 - VILA MARIANA, Prudentópolis - PR, 84400000",4239081112,01/07/2008,MDS,Google,-50.9632769,-25.2148247
50062003334,Nova Andradina,5006200,MS,CENTRO DE REFERÊNCIA DA ASSISTÊNCIA SOCIAL DURVAL ANDRADE FILHO,CRAS,"PROF.JOÃO DE LIMA PAES, 1574 - CENTRO EDUCACIONAL, Nova Andradina - MS, 79750000",6734415317,01/07/2004,MDS,Google,-53.35158260000001,-22.2478228
33011000554,Cantagalo,3301108,RJ,CRAS SANTO ANTONIO,CRAS,"PROF: MANOEL VIEIRA BAPTISTA, 237 - SANTO ANTONIO, Cantagalo - RJ, 28500000",2225551107,03/02/2014,MDS,Google,-42.3625761,-21.9802716
13001001992,Anori,1300102,AM,CRAS - SÃO JOÃO,CRAS,"PROFESSOR ALMIR, 22 - SÃO JOÃO, Anori - AM, 69440000",92991944227,29/12/2017,MDS,Google,-61.6572256,-3.7441691
